Date,Open,High,Low,Close,Adj Close,Volume
2020-11-23,89.500000,90.980003,89.389999,90.139999,87.082970,1928740
2020-11-24,91.849998,94.900002,91.699997,93.500000,90.329025,3279891
2020-11-25,94.370003,94.550003,90.709999,91.500000,88.396843,2783332
2020-11-26,92.099998,92.529999,89.139999,89.800003,86.754509,1877723
2020-11-27,89.019997,91.209999,89.000000,90.000000,86.947723,2070142
2020-11-30,89.989998,90.349998,87.730003,87.730003,84.754707,3524562
2020-12-01,88.010002,89.720001,87.849998,89.400002,86.368073,2001688
2020-12-02,89.959999,91.769997,89.699997,91.320000,88.222961,1943603
2020-12-03,91.360001,95.190002,91.360001,95.000000,91.778152,2495805
2020-12-04,95.080002,97.040001,94.900002,96.239998,92.976097,2485380
2020-12-07,95.620003,95.870003,93.639999,95.209999,91.981026,1631950
2020-12-08,94.809998,95.849998,94.110001,94.730003,91.517311,1346764
2020-12-09,95.690002,96.500000,93.489998,93.589996,90.415970,1365525
2020-12-10,93.769997,94.480003,92.769997,93.720001,90.541565,1687673
2020-12-11,93.519997,93.760002,91.410004,92.190002,89.063454,1774037
2020-12-14,93.129997,94.209999,91.699997,92.050003,88.928200,1698577
2020-12-15,91.500000,92.339996,89.849998,91.370003,88.271263,2055691
2020-12-16,90.900002,92.519997,89.790001,90.709999,87.633644,1735232
2020-12-17,91.339996,91.699997,89.629997,90.379997,87.314835,1487973
2020-12-18,89.620003,90.900002,88.940002,89.000000,85.981636,3297694
